168|N30733487|52.5435973|13.4416612|Thomas-Mann-Straße
168|N30733493|52.5484803|13.4517416|Antonplatz
168|N30733501|52.5515316|13.4412466|Friesickestraße
168|N30733522|52.5622499|13.4348544|Tino-Schwierzina-Straße
161|N30733524|52.5653510|13.4360827|Am Wasserturm
168|N30734427|52.5291682|13.4447186|Paul-Heyse-Straße
168|N30734435|52.5196343|13.4522943|Bersarinplatz
168|N30734503|52.5122359|13.4526090|Grünberger Straße/Warschauer Straße
168|N30736267|52.4971668|13.4847623|Kosanke-Siedlung
168|N30736270|52.4931464|13.4906093|Gustav-Holzmann-Straße
168|N30736271|52.4881374|13.4958685|Heizkraftwerk
168|N30736422|52.4789138|13.5246938|Treskowallee/Ehrlichstraße
168|N30736423|52.4800533|13.5250814|S Karlshorst/Wandlitzstraße
168|N30736427|52.4823628|13.5255656|S Karlshorst
168|N30736431|52.4927681|13.5266059|Treskowallee/Hochschule für Technik und Wirtschaft
168|N30736442|52.5132315|13.5190209|S Friedrichsfelde Ost
167|N30739613|52.4242122|13.3746844|S Marienfelde
167|N30740233|52.4103447|13.3828886|S Buckower Chaussee
161|N30770321|52.6194252|13.2390957|Kiefheider Weg
161|N30820629|52.6042564|13.3622665|Senftenberger Ring Ost
70|N30822887|52.6355634|13.3770570|Schildow
68|N30822888|52.6186272|13.3884468|Blankenfelde
161|N30840917|52.5386644|13.3271210|Seestraße/Beusselstraße
147|N30868159|52.5407543|13.3227163|Gedenkstätte Plötzensee
166|N31034998|52.4542319|13.3844566|U Ullsteinstraße
166|N31034999|52.4462770|13.3857568|U Westphalweg
166|N31048718|52.4672622|13.4314659|U Hermannstraße
166|N31207786|52.5065311|13.3066037|U Wilmersdorfer Straße
166|N31207787|52.5115148|13.3052393|U Bismarckstraße
166|N31207789|52.5173870|13.3065880|U Richard-Wagner-Platz
68|N31222216|52.4493804|13.6262724|Friedrichshagen
161|N31354405|52.4157053|13.4337314|Heinrich-Mann-Oberschule
161|N31367880|52.5559625|13.1427927|Siedlereck
161|N31397068|52.4297585|13.1850074|Wasserwerk Beelitzhof
161|N31425395|52.4232149|13.2335102|Fercher Straße
68|N31451386|52.4343217|13.2589298|Zehlendorf
161|N31491245|52.4418300|13.6867556|Rahnsdorf Waldschänke
161|N31492302|52.4239824|13.6292634|Rübezahl
161|N31492303|52.4215924|13.6411065|Müggelseeperle
161|N31493178|52.4289316|13.6833482|Neu Helgoland
161|N31493192|52.4363258|13.6805509|Müggelwerderweg
166|N29318897|52.4999215|13.3619354|U Kurfürstenstraße
166|N29324017|52.5039000|13.3749525|U Mendelssohn-Bartholdy-Park
13|N29334078|52.4856723|13.3054470|Abschnitt 26
68|N29334080|52.4789022|13.2929962|Schmargendorf
68|N29336704|52.5157470|13.3096834|Charlottenburg
68|N29336705|52.5133992|13.2558416|Westend
68|N29336992|52.4972262|13.2929986|Halensee
68|N29337165|52.4873475|13.2637538|Grunewald
161|N29421304|52.5795436|13.4827218|Malchow/Dorfstraße
68|N29421338|52.5743651|13.5191298|Wartenberg
167|N29423020|52.5783453|13.4299064|S Pankow-Heinersdorf
166|N29494288|52.5104710|13.4159741|U Heinrich-Heine-Straße
166|N29494289|52.5036644|13.4106040|U Moritzplatz
166|N29494292|52.4931022|13.4220998|U Schönleinstraße
166|N29494301|52.5153554|13.4181732|U Jannowitzbrücke
166|N29494305|52.4801908|13.4253259|U Boddinstraße
166|N29494306|52.4729946|13.4284168|U Leinestraße
166|N29494563|52.5415356|13.4122415|U Eberswalder Straße
166|N29495029|52.5172066|13.4125273|U Klosterstraße
166|N29495034|52.5123062|13.4102013|U Märkisches Museum
166|N29495041|52.5133073|13.3955568|U Hausvogteiplatz
166|N29495047|52.5118130|13.3858515|U Mohrenstraße
166|N29495049|52.5091340|13.3783037|U Potsdamer Platz
166|N29495891|52.4975794|13.3631731|U Bülowstraße
166|N29497638|52.4789870|13.3436736|S+U Innsbrucker Platz
161|N29581227|52.4084888|13.4924693|Lockenhuhnweg
67|N29621202|52.5060776|13.6118588|Mahlsdorf
161|N29657606|52.4558368|13.3845666|Tempelhofer Damm/Ordensmeisterstraße
161|N29658451|52.4630719|13.4230981|Mariendorfer Weg
147|N29683689|52.4518300|13.3663100|Zentralpunkt Rauenberg
166|N29690313|52.5631787|13.3271376|U Kurt-Schumacher-Platz
13|N29695282|52.5336632|13.3536389|Abschnitt 33
33|N29711661|52.5896924|13.3089004|Vivantes Humboldt-Klinikum
68|N29768691|52.5930752|13.4545521|Blankenburg
161|N29769442|52.4214256|13.4151414|Asbestweg
161|N29769444|52.4237583|13.4145326|Tropfsteinweg
166|N29786332|52.4641373|13.2960006|U Podbielskiallee
166|N29786335|52.4669659|13.3088779|U Breitenbachplatz
166|N29787634|52.5008434|13.4414409|U Schlesisches Tor
166|N29787639|52.4992535|13.4276166|U Görlitzer Bahnhof
167|N29803428|52.5012717|13.4783994|S Rummelsburg
167|N29805120|52.5200215|13.3870305|Berlin Friedrichstraße
167|N29805967|52.5097832|13.4961404|Berlin-Lichtenberg
161|N29808933|52.4839472|13.5314201|Waldowallee
167|N29809225|52.4808666|13.5265810|S Karlshorst
161|N29831325|52.4543216|13.3190702|Schlossparktheater
166|N29833425|52.4941849|13.3092859|U Konstanzer Straße
166|N29833469|52.4885755|13.3405436|U Bayerischer Platz
166|N29833491|52.5002423|13.3073990|U Adenauerplatz
161|N29846059|52.5087409|13.1681286|Karolinenhöhe
161|N29858077|52.5448333|13.5580236|Rebhuhnweg
161|N29858105|52.5451018|13.5577215|Rebhuhnweg
167|N29858596|52.5436548|13.5413545|S Marzahn
161|N29865953|52.4201728|13.1615780|Conradstraße
166|N29880185|52.4996743|13.5463969|U Biesdorf-Süd
167|N29881347|52.5127753|13.5740744|S+U Wuhletal
167|N29881358|52.5126057|13.5751401|S+U Wuhletal
161|N29884257|52.4448679|13.4006445|Dirschelweg
161|N29884993|52.5255432|13.5655065|Buckower Ring
161|N29885006|52.5333616|13.5659183|Blumberger Damm/Elisabethstraße
67|N29885013|52.5197568|13.5598638|Biesdorf-Nord
161|N29885025|52.5494669|13.5725168|Rudolf-Leonhard-Straße
161|N29885038|52.5448949|13.5580183|Rebhuhnweg
161|N29885043|52.5447064|13.5619091|Hinter der Mühle
161|N29885055|52.5450337|13.5577336|Rebhuhnweg
161|N29885059|52.5448821|13.5618724|Hinter der Mühle
161|N29885343|52.5473777|13.5615496|Jan-Petersen-Straße
161|N29885348|52.5488372|13.5547158|Paul-Dessau-Straße
161|N29885360|52.5472784|13.5610402|Jan-Petersen-Straße
161|N29885367|52.5504132|13.5493027|S Raoul-Wallenberg-Straße
161|N29916131|52.5604640|13.5742267|Schwarzburger Straße
167|N29918297|52.5120903|13.6104126|S Mahlsdorf
161|N29918552|52.5337399|13.6075763|Nossener Straße
167|N29921532|52.4525491|13.5384858|S Oberspree
167|N29921550|52.4545564|13.5099724|S Schöneweide
167|N29925371|52.4696575|13.4677242|S Köllnische Heide
83|N29927324|52.5275057|13.3294408|dm
