9F4MHC4H+MX,Tram Prenzlauer Promenade/Am Steinberg,0,168
9F4MGCWH+32,Tram S Prenzlauer Allee,0,168
9F4MGCQF+VQ,Tram Prenzlauer Allee/Danziger Straße,0,168
9F4MGCQH+56,Tram Winsstraße,0,168
9F4MHC77+74,Tram Masurenstraße,0,168
9F4MC9W6+X9,Bhf S Attilastraße,1,167
9F4MC8QR+GV,Bhf S Lankwitz,1,167
9F4MF9RC+HR,Bhf S Yorckstraße,1,167
9F4MG95G+PH,Bhf S Potsdamer Platz,1,167
9F4MG9GV+35,Bhf S Oranienburger Straße,1,167
9F4MC5F6+MM,Bus Seglerweg,0,161
9F4MC5J6+5C,Bus Zum Heckeshorn,0,161
9F4MG8G3+8C,Deutsche Post,0,14
9F4MH9X6+XF,Bus Packereigraben,0,161
9F4MCGMR+QM,Bhf S Adlershof,1,167
9F4MCGWF+HQ,Bhf S Betriebsbahnhof Schöneweide,1,167
9F4MHCJH+PC,Tram Galenusstraße,0,168
9F4MHCGH+W2,Tram S Pankow-Heinersdorf,0,168
9F4MHCG9+2P,Tram Mendelstraße,0,168
9F4MHCC6+F7,Tram Pankow Kirche,0,168
9F4MHCWM+G5,Tram Rosenthaler Straße,0,168
9F4MHCRP+V8,Bus Blankenburger Weg,0,161
9F4MH9JW+2V,Tram Pastor-Niemöller-Platz,0,168
9F4MH9MR+2R,Tram Am Iderfenngraben,0,168
9F4MC36M+FR,Tram Glienicker Brücke,0,168
9F4MHF87+JM,Bus Darßer Straße/Roelckestraße,0,161
9F4MHF68+2J,Bus Rathaus Weißensee,0,161
9F4MHF56+X3,Tram Pasedagplatz,0,168
9F4MHF4P+M9,Bus Stadion Buschallee/Hansastraße,0,161
9F4MHF3G+8C,Tram Sulzfelder Straße,0,168
9F4MHF6G+4F,Bus Piesporter Straße,0,161
9F4MHF5C+WW,Bus Neumagener Straße,0,161
9F4MHF3J+74,Tram Buschallee/Hansastraße,0,168
9F4MHF28+G9,Bus Berliner Allee/Indira-Gandhi-Straße,0,161
9F4MHF5W+X7,Tram Feldtmannstraße,0,168
9F4MHF6X+HX,Tram Hansastraße/Malchower Weg,0,168
9F4MGFPH+2V,Tram Altenhofer Straße,0,168
9F4MGFJG+WM,Tram Landsberger Allee/Weißenseer Weg,0,168
9F4MHG86+GX,Bhf S Hohenschönhausen,1,167
9F4MHGF3+5G,Bhf S Wartenberg,1,167
9F4MHG74+FG,Tram Prerower Platz,0,168
9F4MHFCW+3X,Tram Zingster Straße/Ribnitzer Straße,0,168
9F4MHG99+CR,Bus Falkenberger Chaussee/Prendener Straße,0,161
9F4MHG9C+C4,Tram Falkenberger Chaussee/Prendener Straße,0,168
9F4MHG82+FR,Tram Ahrenshooper Straße,0,168
9F4MHG9G+WJ,Tram Falkenberg,0,168
9F4MHG25+8M,Tram Gehrenseestraße,0,168
9F4MGFJ6+5H,Tram Oderbruchstraße,0,168
9F4MGFMP+HQ,Tram Zechliner Straße,0,168
9F4MGFMV+QX,Tram Genslerstraße,0,168
9F4MGGM4+XM,Tram Arendsweg,0,168
9F4MGGP9+77,Tram Landsberger Allee/Rhinstraße,0,168
9F4MGGPF+MQ,Tram Dingelstädter Straße,0,168
9F4MGGQM+JJ,Tram Gewerbepark Georg Knorr,0,168
9F4MGHW4+JW,Tram Freizeitforum Marzahn,0,168
9F4MHH38+F5,Tram Max-Herrmann-Straße,0,168
9F4MGHW6+VQ,Tram Jan-Petersen-Straße,0,168
9F4MHH59+48,Tram Wuhletalstraße,0,168
9F4MHH8C+2P,Tram Niemegker Straße,0,168
9F4MHH9F+8V,Tram Barnimplatz,0,168
9F4MHHFF+2M,Tram Ahrensfelde/Stadtgrenze,0,168
9F4MGHWF+H4,Tram Landsberger Allee/Blumberger Damm,0,168
9F4MGHXH+5F,Tram Brodowiner Ring,0,168
9F4MGHXP+JV,Tram Landsberger Chaussee/Zossener Straße,0,168
9F4MGHWP+5X,Tram Michendorfer Straße,0,168
