9F4MGCF2+GV,Hackesche Höfe - Berlin,1
9F4MG97H+JJ,Holocaust-Mahnmal - Berlin,1
9F4MG83J+GQ,Kurfürstendamm - Berlin,1
9F4MG99G+CC,Reichstagsgebäude - Berlin,1
9F4MG972+Q2,Siegessäule - Berlin,1
9F4MG8HF+4R,AEG-Turbinenfabrik - Berlin,1
9F4MGCH3+77,Alter Garnisonfriedhof - Berlin,1
9F4MF9R9+F4,Alter St.-Matthäus-Kirchhof - Berlin,1
9F4MH7GG+G9,Gedänkstätte Berliner Mauer - Berlin,1
9F4MGM9C+3V,Carillon - Berlin,1
9F4MG66V+26,Corbusier Haus - Berlin,1
9F4MG9HP+H3,Dorotheenstädtischer Friedhof - Berlin,1
9F4MFCG9+M9,Tempelhofer Park - Berlin,1
9F4MG7QG+89,Großsiedlung Siemensstadt - Berlin,1
9F4MCH68+72,Gartenstadt Falkenberg - Berlin,1
9F4MG68V+2H,Olympiastadion - Berlin,1
9F4MF5HW+7P,Grunewaldturm - Berlin,1
9F4MG9JF+H6,Invalidenfriedhof - Berlin,1
9F4MGFW5+48,Jüdischer Friedhof Weißensee - Berlin,1
9F4MG82R+X8,KaDeWe - Berlin,1
9F4MGC8Q+XC,Karl-Marx-Allee - Berlin,1
9F4MC59F+CH,Kleistgrab - Berlin,1
9F4MGCQ6+7X,Kulturbrauerei - Berlin,1
9F4MGCHG+5J,Märchenbrunnen - Berlin,1
9F4MG95W+HQ,Mossehaus - Berlin,1
9F4M93M8+5H,Einsteinturm - Potsdam,1
9F4MG99W+46,Neue Wache - Berlin,1
9F4MH8P5+28,Kartland - Berlin,1
9F4MG85M+7R,Hauptstadtzoo - Berlin,1
9F4MF85X+9H,Wilhelm-Foerster-Sternwarte - Berlin,1
9F4MF854+H2,Botanischer Garten - Berlin,1
9F4MG865+PC,Deutsche Oper - Berlin,1
9F4MFG6X+79,Fez - Berlin,1
9F4MH7V9+2X,Freizeitpark Tegel - Berlin,1
9F4MGHQG+VM,Gärten der Welt - Berlin,1
9F4MG98P+6R,Komische Oper Berlin - Berlin,1
9F4MG83R+34,LEGO Store - Berlin,1
9F4MG95F+P5,Legoland Discovery Center - Berlin,1
9F4MG98J+MG,Madame Tussauds - Berlin,1
9F4MGCR3+CF,Mauerpark - Berlin,1
9F4MFG9H+26,Modellpark Berlin - Berlin,1
9F4MG969+7F,Berliner Philharmonie - Berlin,1
9F4MGCVG+5J,Zeiss Großplanetarium - Berlin,1
9F4MG7RQ+J9,Waldhochseilgarten Jungfernheide - Berlin,1
9F4MG9MM+CG,Mount Mitte - Berlin,1
9F4M93M8+9M,AbenteuerPark Potsdam - Potsdam,1
9F4MFCXM+J3,Schwarzlicht Minigolf - Berlin,1
9F4MG82F+R6,Indoor Golf Center - Berlin,1
9F4MCJX6+C2,Bootsverleih Spreepoint - Berlin,1
9F4MHHP7+68,Reiterhof Groke - Ahrensfelde,1
9F4MG9XJ+HH,Magic Mountain - Berlin,1
9F4MHCQ7+MQ,Paintgalaxy - Berlin,1
9F4MQ724+39,TURM ErlebnisCity Oranienburg - Oranienburg,1
9F4M8746+5C,Kristall-Saunatherme Ludwigsfelde - Ludwigsfelde,1
9F4M972W+W4,Wakeboard + Wasserski-Anlage - Großbeeren,1
9F4MGF52+CC,Skatehalle Berlin - Berlin,1
9F4M835X+GP,Airtrike - Potsdam,1
9F4M94M9+R3,Filmpark Babelsberg - Potsdam,1
9F4MFCHQ+MG,Stadtbad Neukölln - Berlin,1
9F4M93R8+9V,S Potsdam Hauptbahnhof,1
9F4MGF6X+87,S+U Lichtenberg Bhf (Berlin),1
9F4MGC6P+27,S Ostbahnhof (Berlin),1
9F4M9GR7+8C,S Flughafen Berlin-Schönefeld Bhf,1
9F4MHG87+JF,S Hohenschönhausen Bhf (Berlin),1
9F4M8CQ8+39,S Blankenfelde (TF) Bhf,1
9F4MCQH2+9V,S Erkner Bhf,1
9F4MMHGV+F6,S Bernau Bhf,1
9F4MFG36+R3,S Schöneweide Bhf (Berlin),1
9F4MM7QQ+49,S Birkenwerder Bhf,1
9F4MG84M+Q3,S+U Zoologischer Garten Bhf (Berlin),1
9F4MG5MW+WX,S Spandau Bhf (Berlin),1
9F4MC5CH+HJ,S Wannsee Bhf (Berlin),1
9F4MG833+WG,S Charlottenburg Bhf (Berlin),1
9F4M7JWJ+Q6,S Königs Wusterhausen Bhf,1
9F4MQ63X+P9,S Oranienburg Bhf,1
9F4MJ6Q4+48,S Hennigsdorf (Berlin),1
9F4MG8JR+VH,U Birkenstr. (Berlin),1
9F4MG89R+6V,U Hansaplatz (Berlin),1
9F4MG89W+XR,S Bellevue (Berlin),1
9F4MG87P+HF,S Tiergarten (Berlin),1
9F4MG8GR+9H,U Turmstr. (Berlin),1
9F4MG9G9+8H,S+U Berlin Hauptbahnhof,1
9F4MF9X7+W4,U Kurfürstenstr. (Berlin),1
9F4MG93F+GV,U Mendelssohn-Bartholdy-Park (Berlin),1
9F4MG9XQ+F8,S+U Gesundbrunnen Bhf (Berlin),1
9F4MG9RV+Q7,U Voltastr. (Berlin),1
9F4MG9JQ+MG,S Nordbahnhof (Berlin),1
9F4MG9QW+5F,U Bernauer Str. (Berlin),1
9F4MG9VH+VF,S Humboldthain (Berlin),1
9F4MG9QC+X5,U Reinickendorfer Str. (Berlin),1
9F4MG9VC+V3,S Wedding,1
9F4MG8RX+VR,U Amrumer Str. (Berlin),1
9F4MG9W5+HQ,U Leopoldplatz (Berlin),1
9F4MH922+5Q,U Seestr. (Berlin),1
9F4MG9V8+3C,S+U Wedding (Berlin),1
9F4MH928+JW,U Nauener Platz (Berlin),1
9F4MH94F+Q8,U Osloer Str. (Berlin),1
9F4MH92J+WP,U Pankstr. (Berlin),1
9F4MH84R+MC,U Rehberge (Berlin),1
9F4MH86M+8C,U Afrikanische Str. (Berlin),1
9F4MG93J+RR,S Anhalter Bahnhof (Berlin),1
9F4MG94R+M8,U Kochstr./Checkpoint Charlie (Berlin),1
9F4MF9XR+4P,U Hallesches Tor (Berlin),1
9F4MGC36+F9,U Moritzplatz (Berlin),1
9F4MFCX9+J3,U Kottbusser Tor (Berlin),1
9F4MFCX4+8J,U Prinzenstr. (Berlin),1
9F4MFCXH+J9,U Görlitzer Bahnhof (Berlin),1
9F4MGC2R+FP,U Schlesisches Tor (Berlin),1
9F4MF9RW+G5,U Gneisenaustr. (Berlin),1
9F4MFCVC+7V,U Schönleinstr. (Berlin),1
9F4MFCQ5+M3,U Südstern (Berlin),1
9F4MF9WQ+8P,U Mehringdamm,1
9F4MF9VQ+C7,U Mehringdamm (Berlin),1
9F4MF9MP+XG,U Platz der Luftbrücke (Berlin),1
9F4MF9XF+RP,U Gleisdreieck (Berlin),1
